,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Brain_Cerebellum,0.013986,0.036568,0.120168,0.093807,0.06675,0.076033,0.221037,0.135932,0.255674,0.417481,1.0,0.195833,0.176325,0.238695,0.177866,0.13412,0.020458,0.257372,0.190376,0.012082,0.064389,0.096392,0.157298,0.157708,0.115759,0.089492,0.068698,0.01467,0.032866,0.009842,0.133217,0.070889,0.096845,0.001335,0.089052,0.151713,0.070962,0.055166,0.062644,0.041998,0.040958,0.119584,0.089741,0.00699,0.08788,0.07897,0.110815,0.159194,0.001715
Brain_Cortex,0.010865,0.033825,0.072896,0.076369,0.053981,0.058043,0.202753,0.210377,0.191056,0.181083,0.195833,1.0,0.293161,0.213659,0.161578,0.172664,0.034971,0.136382,0.152445,0.013743,0.038163,0.047433,0.083628,0.102348,0.098121,0.06785,0.049863,0.022115,0.04,0.012619,0.076504,0.060212,0.059145,0.001252,0.055521,0.080074,0.054602,0.033196,0.040607,0.033854,0.034985,0.074814,0.056864,0.00324,0.057859,0.048223,0.069141,0.07371,0.000416
Brain_Frontal_Cortex_BA9,0.010484,0.015758,0.06402,0.055592,0.035756,0.050544,0.185211,0.281846,0.146964,0.141192,0.176325,0.293161,1.0,0.253723,0.18354,0.217235,0.056622,0.096704,0.13755,0.015586,0.031397,0.038204,0.069163,0.07071,0.074697,0.057269,0.050792,0.016329,0.039886,0.017595,0.054989,0.040654,0.053856,0.001048,0.05118,0.058026,0.039914,0.041135,0.041439,0.028276,0.022164,0.046004,0.047244,0.00607,0.05738,0.041248,0.058556,0.060064,0.001044
Brain_Hippocampus,0.012074,0.021961,0.092968,0.072972,0.049727,0.069415,0.253863,0.199713,0.210896,0.178285,0.238695,0.213659,0.253723,1.0,0.27741,0.193658,0.038798,0.153657,0.188533,0.017883,0.053776,0.067464,0.115428,0.114915,0.107133,0.085212,0.072956,0.018388,0.044321,0.011786,0.094132,0.073392,0.071674,0.001464,0.07448,0.095313,0.062286,0.054997,0.064349,0.039693,0.035516,0.07846,0.068901,0.007877,0.086106,0.076501,0.082397,0.113487,0.001826
Brain_Hypothalamus,0.014486,0.025289,0.078692,0.057524,0.048393,0.06444,0.178513,0.169039,0.146337,0.124721,0.177866,0.161578,0.18354,0.27741,1.0,0.148411,0.029651,0.112899,0.16092,0.01655,0.055637,0.056014,0.089683,0.105096,0.102273,0.083709,0.08403,0.027418,0.053717,0.009352,0.086787,0.075596,0.062341,0.001044,0.057174,0.083921,0.059576,0.044874,0.056985,0.039819,0.036012,0.059218,0.062438,0.0091,0.066064,0.064375,0.068378,0.088434,0.003652
Brain_Nucleus_accumbens_basal_ganglia,0.010672,0.026028,0.07698,0.054728,0.038318,0.047619,0.190328,0.200896,0.17488,0.116385,0.13412,0.172664,0.217235,0.193658,0.148411,1.0,0.061925,0.088381,0.120057,0.009428,0.036911,0.04019,0.074375,0.079621,0.075019,0.052048,0.05642,0.019267,0.041642,0.008563,0.063768,0.040739,0.039601,0.002008,0.052141,0.066258,0.033361,0.045432,0.037344,0.03416,0.022691,0.047432,0.045147,0.007678,0.046696,0.040552,0.050719,0.068415,0.003338
Brain_Putamen_basal_ganglia,0.00274,0.0,0.005432,0.008249,0.005139,0.002882,0.033857,0.055143,0.025844,0.014135,0.020458,0.034971,0.056622,0.038798,0.029651,0.061925,1.0,0.012443,0.026804,0.005556,0.010952,0.00976,0.008217,0.006951,0.011192,0.004108,0.004329,0.002532,0.007576,0.008953,0.0054,0.0,0.007627,0.0,0.012265,0.005512,0.001623,0.00576,0.007007,0.001582,0.001443,0.006213,0.005902,0.0,0.011552,0.008097,0.00507,0.009659,0.0
Brain_Spinal_cord_cervical_c_1,0.00993,0.040418,0.100883,0.101697,0.05361,0.070345,0.199871,0.084729,0.235048,0.277334,0.257372,0.136382,0.096704,0.153657,0.112899,0.088381,0.012443,1.0,0.18566,0.009774,0.066149,0.112113,0.134324,0.123062,0.105754,0.075053,0.051278,0.013274,0.022594,0.008856,0.14923,0.057695,0.087236,0.000485,0.074069,0.152454,0.064708,0.041902,0.058196,0.028478,0.034139,0.120665,0.079434,0.00529,0.073874,0.073189,0.106693,0.177757,0.000161
Brain_Substantia_nigra,0.013253,0.036738,0.077136,0.069979,0.04797,0.050962,0.180501,0.164767,0.192655,0.179729,0.190376,0.152445,0.13755,0.188533,0.16092,0.120057,0.026804,0.18566,1.0,0.010526,0.059031,0.077069,0.103867,0.12072,0.088595,0.074065,0.057936,0.014649,0.030657,0.012707,0.10431,0.051077,0.060863,0.000616,0.046443,0.108506,0.063317,0.032818,0.048168,0.028029,0.034174,0.093346,0.080334,0.004829,0.05669,0.056524,0.077166,0.108637,0.002154
Breast_Mammary_Tissue,0.025641,0.010084,0.0253,0.018093,0.036496,0.027996,0.01348,0.018734,0.013258,0.008408,0.012082,0.013743,0.015586,0.017883,0.01655,0.009428,0.005556,0.009774,0.010526,1.0,0.016083,0.006279,0.01615,0.015377,0.029949,0.032988,0.034839,0.022727,0.02267,0.0,0.015226,0.056194,0.019239,0.007937,0.02112,0.016399,0.014652,0.0191,0.034078,0.022177,0.023423,0.008833,0.015141,0.009852,0.023274,0.017273,0.01026,0.011041,0.007576
