,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Brain_Putamen_basal_ganglia,0.0,0.0,0.000926,0.00238,0.001951,0.000495,0.007523,0.024097,0.006561,0.003108,0.002513,0.006771,0.009063,0.012083,0.01837,0.013773,1.0,0.001781,0.008523,0.00125,0.001075,0.000823,0.000129,0.0,0.00164,0.0,0.0,0.0,0.021678,0.000629,0.000137,0.0,0.000893,0.0,0.002954,0.002192,0.0,0.002247,0.0,0.0,0.0,0.000606,0.000563,0.0,0.001048,0.0,0.001626,0.001196,0.0
Brain_Spinal_cord_cervical_c_1,0.000467,0.001744,0.011139,0.00834,0.003672,0.00579,0.031568,0.015987,0.04043,0.04061,0.016853,0.023326,0.003762,0.030625,0.024008,0.016957,0.001781,1.0,0.029476,0.000638,0.001692,0.006172,0.004671,0.001753,0.006571,0.006619,0.00171,0.002669,0.004025,0.001152,0.014484,0.008945,0.015122,0.0,0.002929,0.010037,0.000105,0.002798,0.004121,0.001993,0.001144,0.002669,0.00294,0.000261,0.008006,0.002689,0.01342,0.003627,5.2e-05
Brain_Substantia_nigra,0.001095,0.000899,0.008128,0.009941,0.004924,0.00647,0.01683,0.018621,0.030739,0.012704,0.016784,0.017532,0.007348,0.02892,0.025734,0.013611,0.008523,0.029476,1.0,0.000275,0.00348,0.005082,0.010247,0.006189,0.007136,0.005087,0.003327,0.001488,0.004735,0.001488,0.021203,0.008163,0.014174,0.0,0.00438,0.010382,0.000691,0.007279,0.0049,0.001934,0.001815,0.003488,0.005195,0.000275,0.005073,0.003912,0.012187,0.003088,0.000482
Breast_Mammary_Tissue,0.0,0.009154,0.002822,0.006591,0.003317,0.00591,0.002111,0.001463,0.001496,0.002633,0.002155,0.003616,0.005296,0.002035,0.005634,0.000404,0.00125,0.000638,0.000275,1.0,0.004052,0.000838,0.006172,0.000954,0.007694,0.003234,0.005092,0.003306,0.009915,0.0,0.00135,0.008824,0.001347,0.011111,0.004198,0.005984,0.000201,0.002778,0.010976,0.006243,0.006074,0.007368,0.003045,0.011111,0.0058,0.011127,0.006631,0.013653,0.0
Cells_Cultured_fibroblasts,0.000824,0.004438,0.012685,0.009038,0.009422,0.008952,0.003873,0.001356,0.003746,0.006789,0.010612,0.00246,0.002926,0.003979,0.002224,0.001195,0.001075,0.001692,0.00348,0.004052,1.0,0.007742,0.013308,0.01136,0.014009,0.011017,0.007908,0.001471,0.001311,0.000999,0.00636,0.007285,0.003123,0.0,0.006921,0.01216,0.009614,0.00889,0.015143,0.011621,0.007924,0.009542,0.01449,0.001887,0.005317,0.0117,0.007807,0.012754,0.0
Cells_EBV_transformed_lymphocytes,0.000597,0.003028,0.010672,0.012193,0.007609,0.007718,0.008488,0.00449,0.009191,0.006587,0.010011,0.008926,0.000899,0.005676,0.012427,0.003734,0.000823,0.006172,0.005082,0.000838,0.007742,1.0,0.016741,0.011452,0.008064,0.005639,0.004854,0.002246,0.001569,0.00184,0.013349,0.00521,0.009637,0.0,0.011203,0.015161,0.006551,0.003932,0.010454,0.013906,0.009542,0.018224,0.011052,0.008027,0.007362,0.011401,0.012295,0.019531,0.0
Colon_Sigmoid,0.008718,0.011382,0.026841,0.027645,0.015637,0.021524,0.007525,0.006309,0.010616,0.015984,0.020003,0.007409,0.005681,0.005947,0.006561,0.003654,0.000129,0.004671,0.010247,0.006172,0.013308,0.016741,1.0,0.042978,0.034203,0.025969,0.031367,0.003506,0.003233,0.001081,0.016264,0.015993,0.007174,0.000387,0.027059,0.037895,0.01251,0.014634,0.015088,0.008922,0.014868,0.047186,0.020405,0.004255,0.015763,0.03499,0.018564,0.034358,0.0
Colon_Transverse,0.000823,0.014192,0.018025,0.021195,0.014861,0.015329,0.001336,0.001176,0.0049,0.011762,0.019813,0.005455,0.00499,0.002826,0.003627,0.00276,0.0,0.001753,0.006189,0.000954,0.01136,0.011452,0.042978,1.0,0.021101,0.015955,0.015013,0.003329,0.006974,0.000607,0.009782,0.01106,0.0046,0.001801,0.016129,0.024829,0.015154,0.007846,0.021707,0.012723,0.012554,0.047754,0.024222,0.004545,0.010391,0.027096,0.008552,0.031067,0.0
Esophagus_Gastroesophageal_Junction,0.006267,0.018121,0.02049,0.032264,0.030786,0.030976,0.013489,0.011399,0.012164,0.018404,0.024952,0.01229,0.009021,0.009105,0.014563,0.005039,0.00164,0.006571,0.007136,0.007694,0.014009,0.008064,0.034203,0.021101,1.0,0.0421,0.041033,0.006213,0.012271,0.000496,0.010274,0.019075,0.01045,0.000398,0.015463,0.030439,0.010071,0.011524,0.011459,0.01542,0.016557,0.017926,0.019483,0.003509,0.01813,0.020592,0.025459,0.016891,0.0
Esophagus_Mucosa,0.003267,0.013612,0.017083,0.026587,0.01984,0.020554,0.008956,0.010536,0.01501,0.018814,0.022759,0.01348,0.010373,0.004851,0.010017,0.005103,0.0,0.006619,0.005087,0.003234,0.011017,0.005639,0.025969,0.015955,0.0421,1.0,0.029031,0.009709,0.004456,0.0,0.00688,0.025315,0.007783,0.000592,0.015298,0.018779,0.006529,0.011527,0.008356,0.009096,0.012895,0.01742,0.012962,0.001176,0.018862,0.017838,0.026435,0.025902,0.0
Esophagus_Muscularis,0.004688,0.009088,0.022513,0.021901,0.024123,0.028918,0.003655,0.013374,0.006154,0.010191,0.015735,0.009024,0.011739,0.002833,0.006964,0.003631,0.0,0.00171,0.003327,0.005092,0.007908,0.004854,0.031367,0.015013,0.041033,0.029031,1.0,0.00466,0.010265,0.000357,0.007956,0.014106,0.005858,0.0,0.010899,0.016745,0.003128,0.006844,0.012086,0.013322,0.004282,0.008687,0.013171,0.005789,0.013313,0.019307,0.014942,0.015922,0.0
Heart_Atrial_Appendage,0.001905,0.003333,0.005052,0.003863,0.003972,0.004144,0.003169,0.003708,0.006249,0.001091,0.000947,0.003405,0.0,0.004312,0.006822,0.004223,0.0,0.002669,0.001488,0.003306,0.001471,0.002246,0.003506,0.003329,0.006213,0.009709,0.00466,1.0,0.014761,0.0,0.001422,0.007487,0.002688,0.0,0.004157,0.001642,0.000203,0.001379,0.00241,0.001835,0.001408,0.010037,0.00198,0.0,0.00658,0.006159,0.006064,0.003736,0.0
Heart_Left_Ventricle,0.010757,0.00087,0.002909,0.006517,0.00606,0.013548,0.00512,0.01018,0.011636,0.001399,0.003509,0.004222,0.004245,0.008699,0.00978,0.004715,0.021678,0.004025,0.004735,0.009915,0.001311,0.001569,0.003233,0.006974,0.012271,0.004456,0.010265,0.014761,1.0,0.000639,0.00705,0.0179,0.003598,0.1,0.006029,0.002969,0.0,0.001274,0.002516,0.002685,0.002681,0.002697,0.005616,0.002553,0.004148,0.002933,0.011622,0.006141,0.000858
Kidney_Cortex,0.0,0.000404,0.001706,0.000667,0.000565,0.002815,0.001727,0.002273,0.001263,0.00234,0.0006,0.001192,0.001089,0.001672,0.001504,0.001523,0.000629,0.001152,0.001488,0.0,0.000999,0.00184,0.001081,0.000607,0.000496,0.0,0.000357,0.0,0.000639,1.0,0.001351,0.000595,0.000304,0.0,0.000429,0.00159,0.000776,0.000779,0.0008,0.000674,0.0,0.002204,0.000976,0.000563,0.001018,0.000847,0.001185,0.000986,0.0
Liver,0.002087,0.002351,0.011907,0.014015,0.005692,0.014185,0.005867,0.001731,0.018237,0.005418,0.011006,0.006271,0.00115,0.014678,0.013219,0.005918,0.000137,0.014484,0.021203,0.00135,0.00636,0.013349,0.016264,0.009782,0.010274,0.00688,0.007956,0.001422,0.00705,0.001351,1.0,0.009325,0.018971,0.0,0.010128,0.021075,0.003055,0.00516,0.00603,0.002259,0.004628,0.01403,0.01421,0.001216,0.008549,0.008229,0.014922,0.013599,0.000581
Lung,0.004346,0.01436,0.020498,0.024703,0.019226,0.023079,0.010654,0.007984,0.014968,0.008762,0.009151,0.010887,0.003368,0.011053,0.015257,0.005533,0.0,0.008945,0.008163,0.008824,0.007285,0.00521,0.015993,0.01106,0.019075,0.025315,0.014106,0.007487,0.0179,0.000595,0.009325,1.0,0.014057,0.0,0.008852,0.015693,0.000596,0.006011,0.012225,0.009122,0.006385,0.022573,0.015383,0.001662,0.012284,0.019755,0.025446,0.012975,0.00119
Minor_Salivary_Gland,0.00208,0.001136,0.013336,0.007936,0.004455,0.013087,0.010493,0.005829,0.012476,0.008296,0.008805,0.006284,0.00472,0.014768,0.011672,0.004779,0.000893,0.015122,0.014174,0.001347,0.003123,0.009637,0.007174,0.0046,0.01045,0.007783,0.005858,0.002688,0.003598,0.000304,0.018971,0.014057,1.0,0.0,0.004215,0.011674,0.001521,0.007001,0.01513,0.004764,0.003428,0.013593,0.009004,0.000766,0.007422,0.007211,0.013626,0.005814,0.000578
Muscle_Skeletal,0.0,0.0,0.000915,0.000336,0.000496,0.000649,0.0,0.0,0.0,0.000442,0.000425,0.002062,0.002597,0.0,0.0,0.0,0.0,0.0,0.0,0.011111,0.0,0.0,0.000387,0.001801,0.000398,0.000592,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.00177,0.000147,0.0,0.0,0.0,0.0,0.000855,9.1e-05,0.000215,0.0,0.0,0.000312,0.00048,7.2e-05,0.0
Nerve_Tibial,0.00404,0.007962,0.015306,0.02089,0.01082,0.029353,0.004284,0.007714,0.004909,0.013788,0.013979,0.007257,0.004828,0.004979,0.002791,0.002942,0.002954,0.002929,0.00438,0.004198,0.006921,0.011203,0.027059,0.016129,0.015463,0.015298,0.010899,0.004157,0.006029,0.000429,0.010128,0.008852,0.004215,0.00177,1.0,0.020147,0.004978,0.006453,0.014941,0.009049,0.016573,0.011924,0.010546,0.004938,0.012159,0.024154,0.012597,0.018973,0.0
