,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Pancreas,0.000387,0.000194,0.002213,0.006059,0.007056,0.001885,0.010705,0.0,0.000619,0.001311,0.001453,0.008754,0.001883,0.000636,0.000335,0.001655,0.000384,0.0,0.000816,0.0,0.000584,0.003187,0.007416,0.013687,0.011357,0.006873,0.003735,0.004779,0.002065,0.002817,0.00018,0.003007,0.003417,0.003127,0.0,0.008549,0.007211,1.0,0.002098,0.00393,0.000763,0.003783,0.010827,0.009277,0.0,0.005152,0.007535,0.002568,0.006376,0.0
Pituitary,0.0,0.00129,0.006816,0.007126,0.007177,0.008496,0.005355,0.004399,0.00411,0.005971,0.008954,0.012798,0.009192,0.010244,0.004162,0.003667,0.003149,0.002198,0.002206,0.006068,0.007742,0.006388,0.001838,0.008428,0.003688,0.007924,0.006659,0.007803,0.0,0.002041,0.000207,0.002598,0.00422,0.003699,0.0,0.009487,0.007122,0.002098,1.0,0.013375,0.001538,0.00658,0.003001,0.005262,0.001613,0.002111,0.00696,0.007366,0.005263,0.00202
Prostate,0.001717,0.001626,0.008177,0.023446,0.010903,0.011403,0.006912,0.004649,0.003294,0.004324,0.004294,0.00754,0.004827,0.001867,0.007517,0.005051,0.00316,0.0,0.004138,0.005212,0.005685,0.007057,0.008534,0.014581,0.021061,0.015751,0.006643,0.010158,0.003038,0.005235,0.001882,0.00678,0.02055,0.009883,0.0,0.018529,0.015869,0.00393,0.013375,1.0,0.014114,0.00617,0.022654,0.011095,0.003404,0.007046,0.01199,0.011264,0.011425,0.001887
Skin_Not_Sun_Exposed_Suprapubic,0.0016,0.0,0.009334,0.011103,0.007589,0.006117,0.008075,0.001986,0.003025,0.0073,0.004678,0.004447,0.00372,0.003231,0.003768,0.005942,0.001794,0.0,0.002271,0.011551,0.005461,0.005479,0.004196,0.00698,0.011255,0.010307,0.003433,0.006096,0.0,0.003632,0.001699,0.002641,0.00983,0.006951,0.0,0.007373,0.006166,0.000763,0.001538,0.014114,1.0,0.023449,0.003387,0.004961,0.00155,0.001993,0.00317,0.005803,0.00364,0.0
Skin_Sun_Exposed_Lower_leg,0.013042,0.003297,0.006758,0.008073,0.017896,0.007761,0.008576,0.003779,0.00245,0.00345,0.005743,0.006795,0.006996,0.002279,0.002736,0.004651,0.001658,0.0,0.001499,0.003774,0.01029,0.002875,0.009268,0.013362,0.009872,0.015759,0.015062,0.00578,0.003895,0.001509,0.004323,0.002847,0.007596,0.003345,0.0,0.016282,0.010269,0.003783,0.00658,0.00617,0.023449,1.0,0.008837,0.010444,0.0,0.005687,0.00724,0.008562,0.009773,0.0
Small_Intestine_Terminal_Ileum,0.002208,0.002933,0.016455,0.019715,0.019144,0.011139,0.015767,0.002559,0.002265,0.004188,0.002152,0.007451,0.004288,0.00318,0.004047,0.005498,0.003591,0.0,0.003036,0.005898,0.005533,0.005291,0.017362,0.047897,0.043278,0.01352,0.011253,0.01879,0.010819,0.003324,0.000905,0.009933,0.024419,0.010774,0.0,0.012829,0.028758,0.010827,0.003001,0.022654,0.003387,0.008837,1.0,0.033344,0.005263,0.008619,0.026791,0.013629,0.032772,0.0
Spleen,0.005138,0.005674,0.011316,0.011515,0.011304,0.014281,0.008216,0.00125,0.004113,0.002082,0.00317,0.007579,0.003244,0.001936,0.003427,0.005571,0.001689,0.0,0.001863,0.003683,0.004978,0.007971,0.007918,0.020399,0.018706,0.01537,0.013218,0.010697,0.003093,0.003448,0.000244,0.008702,0.015762,0.005245,0.000275,0.007757,0.014275,0.009277,0.005262,0.011095,0.004961,0.010444,0.033344,1.0,0.006818,0.005001,0.016208,0.007007,0.012253,0.005229
Stomach,0.004878,0.0,0.002948,0.002143,0.004902,0.00101,0.001055,0.0,0.0,0.00105,0.000391,0.000165,0.0,0.000326,0.00118,0.001972,0.000374,0.0,0.000276,0.001563,0.0,0.004066,0.001747,0.001905,0.0,0.002958,0.003008,0.004185,0.0,0.008835,0.0,0.002143,0.002614,0.006682,0.0,0.0,0.00245,0.0,0.001613,0.003404,0.00155,0.0,0.005263,0.006818,1.0,0.00339,0.001675,0.00251,7.6e-05,0.0
Testis,0.001173,0.003774,0.009404,0.011291,0.010022,0.012637,0.004627,0.010483,0.005623,0.006732,0.013857,0.011318,0.010759,0.005769,0.009708,0.006409,0.007149,0.000432,0.011746,0.006705,0.010457,0.00512,0.008355,0.009755,0.004938,0.018787,0.012806,0.00901,0.004222,0.002301,0.000324,0.007182,0.009979,0.005988,0.0,0.012266,0.015125,0.005152,0.002111,0.007046,0.001993,0.005687,0.008619,0.005001,0.00339,1.0,0.009646,0.015635,0.010251,0.001048
Thyroid,0.004572,0.003188,0.013605,0.027228,0.022679,0.029293,0.01154,0.005515,0.001564,0.004889,0.009096,0.013972,0.007759,0.004521,0.004934,0.008839,0.003385,0.0,0.004489,0.00442,0.009995,0.006947,0.014642,0.043297,0.025612,0.030802,0.011553,0.019162,0.007959,0.003315,0.00142,0.008864,0.019672,0.009828,0.000324,0.025985,0.028401,0.007535,0.00696,0.01199,0.00317,0.00724,0.026791,0.016208,0.001675,0.009646,1.0,0.018209,0.028215,0.002367
Uterus,0.001356,0.001598,0.023428,0.037992,0.025505,0.020368,0.017985,0.013121,0.008994,0.008131,0.020342,0.0191,0.012463,0.012702,0.010671,0.013493,0.006901,0.0,0.009498,0.01254,0.007473,0.008634,0.012232,0.029027,0.012712,0.043033,0.024114,0.025616,0.005409,0.006967,0.001071,0.012826,0.021509,0.012287,0.000201,0.014096,0.050653,0.002568,0.007366,0.011264,0.005803,0.008562,0.013629,0.007007,0.00251,0.015635,0.018209,1.0,0.025814,0.001271
Vagina,0.002434,0.000925,0.015177,0.022588,0.017499,0.015042,0.021514,0.006132,0.00424,0.00657,0.014483,0.020327,0.006065,0.003526,0.005094,0.009023,0.005205,0.001465,0.003893,0.003395,0.007287,0.010435,0.018391,0.039805,0.029083,0.016451,0.025888,0.0142,0.0093,0.00264,0.000891,0.009291,0.017516,0.007892,0.0,0.025144,0.049789,0.006376,0.005263,0.011425,0.00364,0.009773,0.032772,0.012253,7.6e-05,0.010251,0.028215,0.025814,1.0,0.0
Whole_Blood,0.0,0.008,0.001877,0.00127,0.000939,0.002717,0.0,0.000264,0.000845,0.000352,6.3e-05,0.0,0.000129,0.0,0.001155,0.000797,0.000392,0.0,0.000381,0.000788,0.0,0.0,0.000833,0.001375,0.0,0.0,0.001613,0.0,0.003774,0.0,0.0,0.000961,0.003571,0.001524,0.0,0.001242,0.000412,0.0,0.00202,0.001887,0.0,0.0,0.0,0.005229,0.0,0.001048,0.002367,0.001271,0.0,1.0
